FECHA	BCOLO CB Equity	ELCONDOR CB Equity	CONCONC CB Equity	PFBCOLO CB Equity	GRUPOSUR CB Equity	PFGRUPSU CB Equity	ISA CB Equity	EXITO CB Equity	NUTRESA CB Equity	GRUPOARG CB Equity	CEMARGOS CB Equity	PFGRUPOA CB Equity	PFCEMARG CB Equity	ETB CB Equity	PFAVH CB Equity	CELSIA CB Equity	BVC CB Equity	ECOPETL CB Equity	BOGOTA CB Equity	GEB CB Equity	PFDAVVND CB Equity	CORFICOL CB Equity	PFAVAL CB Equity	PFCORCOL CB Equity	PFCARPAK CB Equity	MINEROS CB Equity	CNEC CB Equity	FABRI CB Equity	AVAL CB Equity	ENKA CB Equity	VALSIME CB Equity	CLH CB Equity
2/06/2021	27800	1000	390	28160	20300	17810	22670	11980	21600	10250	5280	8200	3757	213	150	4190	11420	2340	71860	2486	29370	28230	1095	22710	5326.13	4000	10190	5.09	1079	15.32	4626.32	3790
3/06/2021	28340	1000	400	28810	20180	17840	22700	12160	21800	10340	5260	8200	3700	213	150	4197	11420	2360	71400	2495	29990	28560	1109	22710	5326.13	4000	10200	5.09	1079	15.32	4626.32	3790
4/06/2021	27800	1000	400	28200	20050	17490	22700	12050	21690	10220	5185	8100	3700	213	170	4250	11410	2355	71190	2421	30390	28560	1090	22710	5326.13	4020	10100	5.09	1061	15.11	4626.32	3790
7/06/2021	27800	1000	400	28200	20050	17490	22700	12050	21690	10220	5185	8100	3700	213	170	4250	11410	2355	71190	2421	30390	28560	1090	22710	5326.13	4020	10100	5.09	1061	15.11	4626.32	3790
8/06/2021	28190	991	399	28300	20180	17640	23290	12050	22400	10320	5250	8160	3662	213	251.5	4299	11580	2396	71880	2433	30390	28500	1079	22980	5326.13	4025	10220	5.09	1061	15.11	4626.32	3790
9/06/2021	28340	988	400	28260	19880	17860	23360	11950	21820	10200	5210	8375	3658	212.8	295	4300	11440	2370	72000	2413	30800	29000	1066	23100	5326.13	4139	10220	4.9	1050	15.11	4626.32	3800
10/06/2021	28100	988	400	28300	19740	17920	23560	11950	22180	10380	5250	8375	3660	203	270.3	4303	11300	2385	72900	2400	31270	29570	1071	23500	5326.13	4154	10340	4.9	1050	15.11	4626.32	3800
11/06/2021	28320	988	412	28550	19740	17880	23300	11790	22400	10290	5155	8520	3660	206	270.3	4302	11400	2391	70520	2380	30800	30200	1083	24100	5326.13	4100	10450	5.07	1050	15.09	4626.32	3800
14/06/2021	28320	988	412	28550	19740	17880	23300	11790	22400	10290	5155	8520	3660	206	270.3	4302	11400	2391	70520	2380	30800	30200	1083	24100	5326.13	4100	10450	5.07	1050	15.09	4626.32	3800
15/06/2021	27700	937.2	412	27950	19300	17520	22960	12000	22490	10200	5170	8510	3688	205	283.07	4351	11320	2439	72000	2346	29630	30200	1090	24000	5326.13	4110	10530	5	1050	14.6	4626.32	3800
