FECHA;BCOLO CB Equity;ELCONDOR CB Equity;CONCONC CB Equity;PFBCOLO CB Equity;GRUPOSUR CB Equity;PFGRUPSU CB Equity;ISA CB Equity;EXITO CB Equity;NUTRESA CB Equity;GRUPOARG CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;PFCEMARG CB Equity;ETB CB Equity;PFAVH CB Equity;CELSIA CB Equity;BVC CB Equity;ECOPETL CB Equity;BOGOTA CB Equity;GEB CB Equity;PFDAVVND CB Equity;CORFICOL CB Equity;PFAVAL CB Equity;PFCORCOL CB Equity;PFCARPAK CB Equity;MINEROS CB Equity;CNEC CB Equity;FABRI CB Equity;AVAL CB Equity;ENKA CB Equity;VALSIME CB Equity;CLH CB Equity
15/07/2021;28000,00;920,00;382,00;28800,00;19440,00;17110,00;23000,00;12320,00;21960,00;10520,00;5600,00;8300,00;3900,00;200,00;296,62;4150,00;11150,00;2570,00;71290,00;2509,00;29760,00;30090,00;1080,00;23000,00;5326,13;4025,00;10010,00;4,38;1035,00;14,00;4626,32;3500,00
16/07/2021;27990,00;920,00;381,00;28770,00;19200,00;17180,00;23190,00;12320,00;21960,00;10500,00;5585,00;8430,00;3900,00;196,10;296,62;4149,00;11140,00;2560,00;71260,00;2504,00;29540,00;29990,00;1085,00;23050,00;5326,13;4019,00;9850,00;4,38;1035,00;14,00;4626,32;3500,00
19/07/2021;27200,00;849,10;370,00;28000,00;18560,00;16800,00;22300,00;12270,00;21680,00;10300,00;5535,00;8440,00;3890,00;196,10;296,62;4050,00;11100,00;2448,00;69990,00;2450,00;29000,00;29030,00;1060,00;23000,00;5326,13;3900,00;9660,00;4,47;1020,00;14,00;4626,32;3500,00
20/07/2021;27200,00;849,10;370,00;28000,00;18560,00;16800,00;22300,00;12270,00;21680,00;10300,00;5535,00;8440,00;3890,00;196,10;296,62;4050,00;11100,00;2448,00;69990,00;2450,00;29000,00;29030,00;1060,00;23000,00;5326,13;3900,00;9660,00;4,47;1020,00;14,00;4626,32;3500,00
21/07/2021;27820,00;849,00;370,00;28310,00;18510,00;16700,00;22350,00;12170,00;21400,00;10400,00;5535,00;8100,00;3811,00;196,10;289,26;4076,00;11110,00;2535,00;69790,00;2510,00;29110,00;29020,00;1070,00;23000,00;5326,13;3999,00;9830,00;4,47;1020,00;14,13;4626,32;3615,00
21/07/2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/07/2021;28100,00;849,00;370,00;28270,00;18400,00;16720,00;22780,00;12180,00;20910,00;10420,00;5575,00;8100,00;3811,00;199,90;245,17;4078,00;11060,00;2550,00;70480,00;2480,00;29500,00;29670,00;1031,00;23000,00;5326,13;3872,00;9800,00;4,47;1020,00;14,13;4626,32;3600,00
23/07/2021;28270,00;849,00;370,00;28300,00;18480,00;16940,00;22600,00;12160,00;20800,00;10420,00;5695,00;8150,00;3899,00;199,90;265,70;4079,00;11060,00;2551,00;70470,00;2505,00;29030,00;29610,00;1045,00;22520,00;5326,13;3848,00;9900,00;4,41;1046,00;14,16;4626,32;3600,00
26/07/2021;28300,00;849,00;380,00;28300,00;18380,00;16900,00;22400,00;12540,00;20980,00;10450,00;5695,00;8025,00;3880,00;196,00;265,70;4097,00;11100,00;2597,00;69990,00;2490,00;28810,00;29480,00;1060,00;22600,00;5326,13;3848,00;10010,00;4,41;1031,00;14,15;4626,32;3600,00
27/07/2021;28020,00;849,00;380,00;28400,00;18000,00;16600,00;22010,00;12540,00;20860,00;10370,00;5660,00;8120,00;3811,00;196,00;249,99;4075,00;10950,00;2600,00;68000,00;2500,00;29040,00;29430,00;1033,00;23600,00;5326,13;3798,00;10030,00;4,41;1031,00;14,15;5708,25;3500,00
28/07/2021;27800,00;849,00;370,00;28020,00;17920,00;16340,00;22130,00;12500,00;20940,00;10090,00;5530,00;8000,00;3890,00;194,50;259,63;4050,00;11000,00;2611,00;68650,00;2500,00;28800,00;29420,00;1035,00;22570,00;5326,13;3730,00;9900,00;4,41;1030,00;14,15;5708,25;3500,00
29/07/2021;27720,00;849,00;365,00;27940,00;17840,00;16600,00;22300,00;12580,00;20570,00;9980,00;5550,00;7920,00;3848,00;194,90;248,67;4085,00;10800,00;2646,00;69870,00;2515,00;28790,00;29460,00;1045,00;22500,00;5326,13;3705,00;9890,00;4,41;1020,00;14,15;5708,25;3550,00
30/07/2021;27100,00;850,00;364,90;27800,00;17300,00;16280,00;21820,00;12860,00;20700,00;10090,00;5595,00;8050,00;3894,00;194,00;256,10;4042,00;10500,00;2633,00;68290,00;2529,00;28700,00;29280,00;1024,00;23200,00;5326,13;3695,00;9865,00;4,41;1020,00;14,00;5708,25;3650,00
2/08/2021;27700,00;850,00;364,90;27800,00;17770,00;16300,00;21980,00;12860,00;20450,00;9905,00;5465,00;8050,00;3850,00;194,00;256,10;4110,00;10480,00;2598,00;68000,00;2530,00;28500,00;28830,00;1025,00;23200,00;5326,13;3704,00;9820,00;4,23;1020,00;14,10;5708,25;3650,00
3/08/2021;27640,00;850,00;359,90;27700,00;18000,00;16380,00;21900,00;12580,00;20350,00;9905,00;5365,00;7915,00;3880,00;194,00;256,10;4082,00;10270,00;2620,00;69780,00;2530,00;28300,00;28500,00;1027,00;22340,00;5326,13;3709,00;9975,00;4,23;1020,00;14,00;5708,25;3681,00
4/08/2021;28190,00;850,00;350,00;28490,00;17960,00;16400,00;22000,00;12580,00;20560,00;9990,00;5360,00;7800,00;3800,00;197,00;253,50;4087,00;10110,00;2564,00;68600,00;2567,00;28870,00;28500,00;1025,00;22350,00;5326,13;3775,00;9720,00;4,23;1010,00;14,00;5708,25;3681,00
5/08/2021;27530,00;850,00;365,00;27400,00;17700,00;16390,00;22000,00;12580,00;20550,00;9940,00;5310,00;7795,00;3849,00;197,00;262,22;4080,00;10180,00;2527,00;69200,00;2584,00;28390,00;28550,00;1028,00;22330,00;5326,13;3755,00;9840,00;4,23;1010,00;14,00;5708,25;3681,00
6/08/2021;27250,00;880,00;365,00;27540,00;17700,00;16390,00;21600,00;12510,00;20700,00;9890,00;5380,00;7860,00;3800,00;197,00;256,96;4080,00;10200,00;2547,00;69360,00;2564,00;28420,00;28500,00;1029,00;22500,00;5326,13;3740,00;9895,00;4,99;1010,00;13,70;5708,25;3681,00
9/08/2021;27520,00;920,00;369,00;27970,00;17500,00;16100,00;21300,00;12510,00;20550,00;9950,00;5425,00;7860,00;3800,00;197,00;269,78;4060,00;10020,00;2590,00;68120,00;2549,00;28660,00;28490,00;1025,00;22500,00;5326,13;3740,00;9870,00;4,99;1010,00;14,00;5708,25;3681,00
10/08/2021;27800,00;920,00;382,00;28300,00;17530,00;16100,00;21330,00;12510,00;20990,00;10020,00;5550,00;7835,00;3930,00;197,00;272,18;4021,00;10070,00;2598,00;68190,00;2560,00;28800,00;28210,00;1025,00;22340,00;5326,13;3740,00;9895,00;6,00;1010,00;14,00;5708,25;3800,00
11/08/2021;27800,00;920,00;382,00;28300,00;17530,00;16100,00;21330,00;12510,00;20990,00;10020,00;5550,00;7835,00;3930,00;197,00;272,18;4021,00;10070,00;2598,00;68190,00;2560,00;28800,00;28210,00;1025,00;22340,00;5326,13;3740,00;9895,00;6,00;1010,00;14,00;5708,25;3800,00
12/08/2021;28990,00;909,00;371,00;29300,00;17700,00;16370,00;21800,00;12600,00;21250,00;10350,00;5625,00;8055,00;3950,00;193,90;280,00;4139,00;9770,00;2622,00;68200,00;2550,00;30000,00;28300,00;1035,00;22890,00;5300,00;3739,00;9500,00;7,00;1010,00;13,85;6100,00;3800,00
13/08/2021;29610,00;909,00;371,00;30050,00;18000,00;16500,00;21900,00;12600,00;21400,00;10220,00;5700,00;8050,00;3970,00;200,00;280,00;4100,00;9435,00;2586,00;69990,00;2568,00;31000,00;28280,00;1031,00;22890,00;5300,00;3739,00;9480,00;6,20;1010,00;14,20;6100,00;3800,00
16/08/2021;29610,00;909,00;371,00;30050,00;18000,00;16500,00;21900,00;12600,00;21400,00;10220,00;5700,00;8050,00;3970,00;200,00;280,00;4100,00;9435,00;2586,00;69990,00;2568,00;31000,00;28280,00;1031,00;22890,00;5300,00;3739,00;9480,00;6,20;1010,00;14,20;6100,00;3800,00
17/08/2021;30500,00;875,00;371,00;30800,00;18800,00;17300,00;23040,00;12600,00;21950,00;10650,00;5845,00;8280,00;4050,00;202,80;280,00;4198,00;9960,00;2580,00;70980,00;2625,00;31500,00;29000,00;1085,00;23380,00;5300,00;3715,00;9320,00;6,20;1050,00;15,60;6100,00;3800,00
18/08/2021;31380,00;870,00;372,00;31380,00;19580,00;17990,00;23270,00;12600,00;22980,00;11010,00;5840,00;8550,00;4165,00;196,50;282,90;4201,00;10410,00;2568,00;73290,00;2689,00;32690,00;29490,00;1100,00;23600,00;5326,13;3760,00;9165,00;6,20;1050,00;17,16;6317,13;3750,00
19/08/2021;31600,00;870,00;385,00;31650,00;19660,00;18140,00;23650,00;12600,00;22870,00;11080,00;5820,00;8650,00;4160,00;196,50;282,90;4170,00;10100,00;2520,00;72000,00;2700,00;32300,00;30000,00;1115,00;23700,00;5326,13;3840,00;9150,00;6,10;1060,00;17,14;6406,18;3750,00
20/08/2021;31270,00;890,00;385,00;31360,00;19500,00;18000,00;23450,00;12550,00;22900,00;11100,00;5820,00;8600,00;4120,00;196,50;240,11;4270,00;10200,00;2536,00;72480,00;2700,00;32480,00;29900,00;1119,00;23800,00;5326,13;3845,00;9240,00;6,10;1100,00;17,14;6406,18;3620,00
