FECHA; BCOLO CB Equity ; ELCONDOR CB Equity ; CONCONC CB Equity ; PFBCOLO CB Equity ; GRUPOSUR CB Equity ; PFGRUPSU CB Equity ; ISA CB Equity ; EXITO CB Equity ; NUTRESA CB Equity ; GRUPOARG CB Equity ; CEMARGOS CB Equity ; PFGRUPOA CB Equity ; PFCEMARG CB Equity ; ETB CB Equity ; PFAVH CB Equity ; CELSIA CB Equity ; BVC CB Equity ; ECOPETL CB Equity ; BOGOTA CB Equity ; GEB CB Equity ; PFDAVVND CB Equity ; CORFICOL CB Equity ; PFAVAL CB Equity ; PFCORCOL CB Equity ; PFCARPAK CB Equity ; MINEROS CB Equity ; CNEC CB Equity ; FABRI CB Equity ; AVAL CB Equity ; ENKA CB Equity ; VALSIME CB Equity ; CLH CB Equity 
21-oct-21; $ 34.040,00 ; $ 901,50 ; $ 312,00 ; $ 34.120,00 ; $ 22.470,00 ; $ 19.020,00 ; $ 22.520,00 ; $ 11.590,00 ; $ 22.150,00 ; $ 11.850,00 ; $ 6.180,00 ; $ 8.680,00 ; $ 4.400,00 ; $ 199,70 ; $ 67,94 ; $ 4.329,00 ; $ 10.070,00 ; $ 2.910,00 ; $ 73.790,00 ; $ 2.905,00 ; $ 34.460,00 ; $ 29.490,00 ; $ 1.140,00 ; $ 23.540,00 ; $ 5.865,41 ; $ 3.885,00 ; $ 11.900,00 ; $ 6,27 ; $ 1.124,00 ; $ 22,50 ; $ 5.510,18 ; $ 3.560,00 
22-oct-21; $ 33.460,00 ; $ 901,50 ; $ 305,00 ; $ 33.600,00 ; $ 22.280,00 ; $ 18.800,00 ; $ 22.500,00 ; $ 11.590,00 ; $ 21.900,00 ; $ 11.800,00 ; $ 6.200,00 ; $ 8.630,00 ; $ 4.400,00 ; $ 198,90 ; $ 84,02 ; $ 4.312,00 ; $ 9.930,00 ; $ 2.890,00 ; $ 73.490,00 ; $ 2.901,00 ; $ 33.880,00 ; $ 29.430,00 ; $ 1.140,00 ; $ 23.500,00 ; $ 5.865,41 ; $ 3.954,00 ; $ 11.890,00 ; $ 6,27 ; $ 1.130,00 ; $ 22,50 ; $ 5.510,18 ; $ 3.580,00 
25-oct-21; $ 34.200,00 ; $ 903,90 ; $ 305,00 ; $ 33.840,00 ; $ 22.400,00 ; $ 18.800,00 ; $ 22.700,00 ; $ 11.510,00 ; $ 21.950,00 ; $ 11.920,00 ; $ 6.250,00 ; $ 8.680,00 ; $ 4.350,00 ; $ 197,90 ; $ 79,64 ; $ 4.274,00 ; $ 9.960,00 ; $ 2.890,00 ; $ 73.700,00 ; $ 2.788,00 ; $ 33.960,00 ; $ 29.320,00 ; $ 1.139,00 ; $ 23.420,00 ; $ 5.865,41 ; $ 3.964,00 ; $ 11.940,00 ; $ 6,27 ; $ 1.130,00 ; $ 24,00 ; $ 5.510,18 ; $ 3.580,00 
26-oct-21; $ 34.500,00 ; $ 903,90 ; $ 300,00 ; $ 34.400,00 ; $ 22.250,00 ; $ 18.840,00 ; $ 22.800,00 ; $ 11.500,00 ; $ 22.100,00 ; $ 12.060,00 ; $ 6.280,00 ; $ 8.775,00 ; $ 4.399,00 ; $ 197,90 ; $ 74,01 ; $ 4.290,00 ; $ 10.050,00 ; $ 2.930,00 ; $ 74.010,00 ; $ 2.769,00 ; $ 34.350,00 ; $ 29.800,00 ; $ 1.155,00 ; $ 23.500,00 ; $ 5.865,41 ; $ 4.010,00 ; $ 11.940,00 ; $ 6,39 ; $ 1.140,00 ; $ 24,75 ; $ 5.510,18 ; $ 3.590,00 
27-oct-21; $ 34.450,00 ; $ 895,00 ; $ 300,00 ; $ 34.310,00 ; $ 22.370,00 ; $ 18.720,00 ; $ 22.750,00 ; $ 11.500,00 ; $ 21.990,00 ; $ 11.750,00 ; $ 6.270,00 ; $ 8.750,00 ; $ 4.380,00 ; $ 201,80 ; $ 51,09 ; $ 4.299,00 ; $ 10.000,00 ; $ 2.867,00 ; $ 74.010,00 ; $ 2.740,00 ; $ 34.400,00 ; $ 29.650,00 ; $ 1.146,00 ; $ 23.750,00 ; $ 5.865,41 ; $ 3.995,00 ; $ 11.820,00 ; $ 6,40 ; $ 1.135,00 ; $ 24,75 ; $ 5.510,18 ; $ 3.581,00 
28-oct-21; $ 34.490,00 ; $ 895,00 ; $ 300,00 ; $ 34.100,00 ; $ 22.150,00 ; $ 18.910,00 ; $ 22.730,00 ; $ 11.500,00 ; $ 22.200,00 ; $ 11.790,00 ; $ 6.320,00 ; $ 8.700,00 ; $ 4.400,00 ; $ 201,80 ; $ 51,09 ; $ 4.289,00 ; $ 10.050,00 ; $ 2.890,00 ; $ 75.990,00 ; $ 2.769,00 ; $ 34.550,00 ; $ 29.670,00 ; $ 1.154,00 ; $ 23.850,00 ; $ 5.865,41 ; $ 4.030,00 ; $ 11.860,00 ; $ 6,46 ; $ 1.140,00 ; $ 24,75 ; $ 5.510,18 ; $ 3.545,00 
29-oct-21; $ 33.680,00 ; $ 895,00 ; $ 298,10 ; $ 33.800,00 ; $ 21.950,00 ; $ 18.890,00 ; $ 22.610,00 ; $ 11.700,00 ; $ 22.010,00 ; $ 11.800,00 ; $ 6.350,00 ; $ 8.600,00 ; $ 4.397,00 ; $ 201,00 ; $ 42,51 ; $ 4.284,00 ; $ 9.810,00 ; $ 2.847,00 ; $ 75.900,00 ; $ 2.720,00 ; $ 33.910,00 ; $ 29.670,00 ; $ 1.150,00 ; $ 23.700,00 ; $ 6.003,61 ; $ 4.025,00 ; $ 11.720,00 ; $ 6,73 ; $ 1.136,00 ; $ 24,75 ; $ 5.510,18 ; $ 3.500,00 
2-nov-21; $ 34.000,00 ; $ 898,90 ; $ 300,00 ; $ 34.050,00 ; $ 21.790,00 ; $ 18.610,00 ; $ 22.730,00 ; $ 11.770,00 ; $ 22.000,00 ; $ 11.570,00 ; $ 6.310,00 ; $ 8.500,00 ; $ 4.320,00 ; $ 201,00 ; $ 42,51 ; $ 4.230,00 ; $ 9.820,00 ; $ 2.854,00 ; $ 75.000,00 ; $ 2.682,00 ; $ 33.800,00 ; $ 29.500,00 ; $ 1.140,00 ; $ 23.510,00 ; $ 6.003,61 ; $ 4.001,00 ; $ 11.430,00 ; $ 6,81 ; $ 1.132,00 ; $ 25,47 ; $ 5.510,18 ; $ 3.500,00 
3-nov-21; $ 34.000,00 ; $ 899,00 ; $ 300,00 ; $ 34.390,00 ; $ 22.550,00 ; $ 18.900,00 ; $ 22.830,00 ; $ 11.500,00 ; $ 22.250,00 ; $ 11.600,00 ; $ 6.360,00 ; $ 8.505,00 ; $ 4.365,00 ; $ 201,00 ; $ 42,51 ; $ 4.280,00 ; $ 9.840,00 ; $ 2.890,00 ; $ 74.300,00 ; $ 2.740,00 ; $ 33.970,00 ; $ 29.990,00 ; $ 1.144,00 ; $ 23.300,00 ; $ 6.003,61 ; $ 4.000,00 ; $ 11.260,00 ; $ 7,49 ; $ 1.132,00 ; $ 25,47 ; $ 5.510,18 ; $ 3.500,00 
4-nov-21; $ 33.400,00 ; $ 899,00 ; $ 285,10 ; $ 33.650,00 ; $ 22.210,00 ; $ 18.900,00 ; $ 22.800,00 ; $ 11.500,00 ; $ 22.180,00 ; $ 11.770,00 ; $ 6.415,00 ; $ 8.570,00 ; $ 4.388,00 ; $ 201,00 ; $ 42,51 ; $ 4.280,00 ; $ 9.820,00 ; $ 2.871,00 ; $ 73.510,00 ; $ 2.657,00 ; $ 33.980,00 ; $ 29.700,00 ; $ 1.138,00 ; $ 23.600,00 ; $ 6.003,61 ; $ 4.000,00 ; $ 11.500,00 ; $ 8,19 ; $ 1.138,00 ; $ 25,47 ; $ 5.510,18 ; $ 3.470,00 
5-nov-21; $ 33.460,00 ; $ 899,00 ; $ 285,10 ; $ 33.400,00 ; $ 22.300,00 ; $ 18.810,00 ; $ 22.730,00 ; $ 11.500,00 ; $ 22.100,00 ; $ 11.800,00 ; $ 6.400,00 ; $ 8.570,00 ; $ 4.385,00 ; $ 201,00 ; $ 42,51 ; $ 4.265,00 ; $ 9.800,00 ; $ 2.877,00 ; $ 73.000,00 ; $ 2.650,00 ; $ 33.600,00 ; $ 29.640,00 ; $ 1.138,00 ; $ 23.610,00 ; $ 6.003,61 ; $ 3.995,00 ; $ 11.150,00 ; $ 8,89 ; $ 1.138,00 ; $ 25,40 ; $ 5.510,18 ; $ 3.490,00 
6-nov-21; $ 33.460,00 ; $ 899,00 ; $ 285,10 ; $ 33.400,00 ; $ 22.300,00 ; $ 18.810,00 ; $ 22.730,00 ; $ 11.500,00 ; $ 22.100,00 ; $ 11.800,00 ; $ 6.400,00 ; $ 8.570,00 ; $ 4.385,00 ; $ 201,00 ; $ 42,51 ; $ 4.265,00 ; $ 9.800,00 ; $ 2.877,00 ; $ 73.000,00 ; $ 2.650,00 ; $ 33.600,00 ; $ 29.640,00 ; $ 1.138,00 ; $ 23.610,00 ; $ 6.003,61 ; $ 3.995,00 ; $ 11.150,00 ; $ 8,89 ; $ 1.138,00 ; $ 25,40 ; $ 5.510,18 ; $ 3.490,00 
8-nov-21; $ 33.480,00 ; $ 887,00 ; $ 289,00 ; $ 33.520,00 ; $ 21.870,00 ; $ 18.770,00 ; $ 22.600,00 ; $ 11.690,00 ; $ 22.180,00 ; $ 11.880,00 ; $ 6.375,00 ; $ 8.650,00 ; $ 4.370,00 ; $ 201,00 ; $ 42,51 ; $ 4.300,00 ; $ 9.700,00 ; $ 2.923,00 ; $ 73.080,00 ; $ 2.696,00 ; $ 33.990,00 ; $ 29.600,00 ; $ 1.145,00 ; $ 23.800,00 ; $ 6.003,61 ; $ 4.060,00 ; $ 11.000,00 ; $ 9,00 ; $ 1.127,00 ; $ 25,40 ; $ 5.510,18 ; $ 3.470,00 
9-nov-21; $ 32.880,00 ; $ 887,00 ; $ 289,00 ; $ 33.200,00 ; $ 21.400,00 ; $ 18.500,00 ; $ 22.600,00 ; $ 11.500,00 ; $ 21.900,00 ; $ 11.800,00 ; $ 6.280,00 ; $ 8.600,00 ; $ 4.330,00 ; $ 201,00 ; $ 42,51 ; $ 4.300,00 ; $ 9.870,00 ; $ 2.937,00 ; $ 74.460,00 ; $ 2.689,00 ; $ 33.550,00 ; $ 29.500,00 ; $ 1.128,00 ; $ 23.500,00 ; $ 6.003,61 ; $ 3.942,00 ; $ 10.800,00 ; $ 8,91 ; $ 1.120,00 ; $ 25,40 ; $ 5.510,18 ; $ 3.400,00 
10-nov-21; $ 32.210,00 ; $ 887,00 ; $ 280,00 ; $ 32.700,00 ; $ 21.200,00 ; $ 18.300,00 ; $ 22.480,00 ; $ 11.540,00 ; $ 21.740,00 ; $ 11.580,00 ; $ 6.170,00 ; $ 8.355,00 ; $ 4.220,00 ; $ 201,00 ; $ 42,51 ; $ 4.255,00 ; $ 9.655,00 ; $ 2.880,00 ; $ 74.400,00 ; $ 2.663,00 ; $ 33.290,00 ; $ 29.380,00 ; $ 1.116,00 ; $ 23.110,00 ; $ 6.003,61 ; $ 3.928,00 ; $ 10.640,00 ; $ 8,60 ; $ 1.115,00 ; $ 23,50 ; $ 5.510,18 ; $ 3.380,00 
11-nov-21; $ 32.200,00 ; $ 889,70 ; $ 280,00 ; $ 32.200,00 ; $ 21.600,00 ; $ 18.610,00 ; $ 22.550,00 ; $ 11.500,00 ; $ 21.740,00 ; $ 11.800,00 ; $ 6.255,00 ; $ 8.680,00 ; $ 4.300,00 ; $ 199,00 ; $ 42,51 ; $ 4.245,00 ; $ 9.650,00 ; $ 2.864,00 ; $ 73.000,00 ; $ 2.668,00 ; $ 33.000,00 ; $ 29.300,00 ; $ 1.119,00 ; $ 23.810,00 ; $ 6.003,61 ; $ 3.920,00 ; $ 10.370,00 ; $ 8,39 ; $ 1.110,00 ; $ 24,50 ; $ 5.510,18 ; $ 3.420,00 
12-nov-21; $ 32.160,00 ; $ 864,00 ; $ 276,10 ; $ 32.100,00 ; $ 21.550,00 ; $ 18.440,00 ; $ 22.210,00 ; $ 11.600,00 ; $ 21.740,00 ; $ 11.600,00 ; $ 6.235,00 ; $ 8.640,00 ; $ 4.200,00 ; $ 197,90 ; $ 42,51 ; $ 4.250,00 ; $ 9.650,00 ; $ 2.840,00 ; $ 73.080,00 ; $ 2.661,00 ; $ 32.050,00 ; $ 28.900,00 ; $ 1.107,00 ; $ 23.800,00 ; $ 6.003,61 ; $ 3.741,00 ; $ 10.540,00 ; $ 8,13 ; $ 1.110,00 ; $ 24,50 ; $ 5.510,18 ; $ 3.420,00 
